Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Old Chang Kee,5ML,OCKL.SI,87.39,88.657,24.13,3.47,Cyclical Consumer Services,58
MYP,F86,MYPL.SI,168.802,22.118,,,Real Estate,57
UOB Kay Hian,U10,UOKH.SI,970.881,372.722,13.66,3.62,Banking & Investment Services,56
Q&M Dental,QC7,QMDT.SI,358.175,127.963,19.46,6.34,Healthcare Services,56
ChinaKangdaFood,P74,0834.HK,155.861,1546.256,32.58,,Food & Beverages,56
Duty Free Intl,5SO,DUTY.SI,124.149,200.79,29.97,4.95,Transportation,56
Bonvests,B28,BVHS.SI,377.426,227.777,98.84,,Cyclical Consumer Services,55
UIC,U06,UICS.SI,3194.847,789.451,6.09,1.79,Real Estate,54
Straco,S85,STRA.SI,438.809,108.835,11.45,4.95,Cyclical Consumer Services,54
Elec & Eltek USD,E16,EELT.SI,428.047,616.508,14.09,1.75,Technology Equipment,54
Lian Beng,L03,LIBG.SI,219.85,535.314,5.64,5.42,Industrial & Commercial Services,54
GP Industries,G20,GPEI.SI,281.534,1062.358,13.43,2.31,Industrial Goods,53
Teckwah,561,TECK.SI,107.433,174.459,11.98,3.26,Industrial & Commercial Services,53
Medtecs Intl,546,MTCS.SI,255.476,96.126,158.14,,Healthcare Services,52
Chuan Hup,C33,CHHS.SI,182.87,18.227,,5.08,Real Estate,52
Penguin Intl,BTM,PGUN.SI,104.581,136.337,5.39,3.68,Transportation,52
YHI Intl,BPF,YHII.SI,89.15,448.207,6.88,7.28,Automobiles & Auto Parts,52
Straits Trading,S20,STCM.SI,652.953,363.637,7.72,3.75,Mineral Resources,51
Low Keng Huat,F1E,LKH.SI,280.75,46.71,21.91,3.95,Industrial & Commercial Services,51
UnUsUaL,1D1,UNUS.SI,135.852,61.943,21.43,,Cyclical Consumer Services,51
Spindex Ind,564,SNEX.SI,98.06,158.049,6.82,3.88,Industrial Goods,51
First Sponsor,ADN,FSCA.SI,937.311,319.164,7.18,2.31,Real Estate,50
Pacific Andes,P11,PACF.SI,188.278,1159.567,,,Food & Beverages,50
Hotung Inv,BLS,HOTU.SI,156.992,23.585,9.92,8,Banking & Investment Services,50
PEC,IX2,PECL.SI,124.022,484.189,12.28,4.12,Energy - Fossil Fuels,50
SHS,566,SEEH.SI,115.123,26.39,,1.85,Industrial & Commercial Services,50
Hatten Land,PH0,HATT.SI,101.856,96.611,,0.05,Real Estate,50
Heeton,5DP,HEET.SI,97.547,64.806,7.4,1.5,Real Estate,50
SIIC Environment,BHK,SIIC.SI,533.578,1118.957,4.67,9.76,Utilities,49
Pacific Century,P15,PCEN.SI,781.204,17.536,24.85,9.36,Holding Companies,48
FSL Trust,D8DU,FSLT.SI,141.445,100.937,6.41,,Transportation,48
Alita Resources,40F,ALIT.SI,115.161,69.906,,,Mineral Resources,48
HPL,H15,HPPS.SI,1705.273,556.359,35.09,1.22,Cyclical Consumer Services,47
Oxley,5UX,OXHL.SI,997.787,754.323,9.49,4.26,Real Estate,47
Sunpower,5GD,SUNP.SI,360.291,683.113,4.58,0.42,Industrial Goods,47
Healthway Med,5NG,HEMC.SI,144.921,114.247,,,Healthcare Services,47
Dutech,CZ4,DTHL.SI,101.613,370.985,6.52,3.51,Technology Equipment,47
Cordlife,P8A,CORD.SI,90.959,61.579,13.38,2.94,Healthcare Services,47
BRC Asia,BEC,BRCA.SI,296.052,902.78,6.88,3.97,Cyclical Consumer Products,46
GS Hldg,43A,GSHO.SI,90.647,35.684,6.81,,Industrial & Commercial Services,46
Sasseur Reit,CRPU,SASS.SI,919.054,114.924,7.39,6.98,Real Estate,45.2
Hotel Grand,H18,HGCS.SI,704.739,154.702,26.51,4.12,Cyclical Consumer Services,45
China Fishery,B0Z,CNFG.SI,277.808,679.561,,,Food & Beverages,45
Sabana Reit,M1GU,SABA.SI,384.375,76.338,18.6,6.7,Real Estate,44.5
Raffles Edu,NR7,RLSE.SI,172.097,101.286,2.54,,Industrial & Commercial Services,44
Fragrance,F31,FRAG.SI,772.8,58.156,9.67,3.04,Real Estate,43
Yunnan Energy,T43,1298.HK,537.102,311.473,,,Technology Equipment,43
NSL,N02,NATS.SI,263.358,272.35,,7.09,Mineral Resources,43
ValueMax,T6I,VAMG.SI,166.593,235.947,6.41,5.37,Banking & Investment Services,43
IX Biopharma,42C,IXBI.SI,158.979,0.756,,,,43
Dyna-Mac,NO4,DMHL.SI,113.576,124.51,,,Industrial Goods,43
COSCO SHP SG,F83,COSC.SI,447.849,171.495,60.61,,Transportation,42
Food Empire,F03,FEMP.SI,293.552,402.151,8.07,1.83,Food & Beverages,42
Gallant Venture,5IG,GLVT.SI,613.059,1965.687,,,Automobiles & Auto Parts,40
OUE Lippo HC,5WA,OUEL.SI,168.839,19.649,50,,Healthcare Services,40
EnGro,S44,ENGR.SI,100.304,131.262,9.08,2.96,Mineral Resources,40
Yorkshine,MR8,YORK.SI,92.993,32.797,,,Mineral Resources,40
Tiong Woon,BQM,TION.SI,91.733,136.473,9.35,0.51,Industrial Goods,39
Hyflux,600,HYFL.SI,183.102,150.18,,,Utilities,38
Powermatic Data,BCY,PMDS.SI,92.371,26.504,8.96,1.94,Technology Equipment,37
Wee Hur,E3B,WHHL.SI,177.824,191.792,5.06,4.21,Industrial & Commercial Services,35
Best World,CGN,BEST.SI,749.538,445.437,,3.99,Personal & Household Products & Services,33
AnAn Intl,Y35,ANAN.SI,270.924,2300.881,,,Energy - Fossil Fuels,32
Berlian LajuTank,B66,BLTA.JK,1297009.375,284536.469,,,Transportation,28
Pan Ocean,AZY,PANOx.SI,2377.826,2890.258,13.14,,Transportation,27
China Hongxing,BR9,CHXS.SI,352.866,0,,,Cyclical Consumer Products,22
Oceanus,579,OCGL.SI,170.078,9.821,,,Food & Beverages,19
Winmark Inv,40R,WINM.SI,166.508,5.05,,,Industrial & Commercial Services,15
Midas,5EN,MIDA.SI,375.327,,,,Mineral Resources,9
Noble,CGP,NOBG.SI,105.275,,,,Industrial & Commercial Services,8
Nomura Yen1k,N33,8604.T,1670272.25,1952482,7.46,4.18,Banking & Investment Services,
Maruwa Yen1k,M12,5344.T,99718.32,41231.43,16.87,0.65,Technology Equipment,
Tosei,S2D,8923.T,54568.805,67136.828,5.37,3.74,Real Estate,
IHH,Q0F,IHHH.KL,47835.848,14824.974,899.34,0.73,Healthcare Services,
Top Glove,BVA,TPGC.KL,47157.445,5316.175,69.56,0.8,Healthcare Services,
Lonza,O6Z,LONN.S,37770.551,5920,49.64,0.54,,
Prudential USD,K6S,PRU.L,32049.852,75168.773,20.39,3.04,Insurance,
JMH USD,J36,JARD.SI,30674.213,40922,5.53,4.12,Industrial Conglomerates,
AliPictures HKD,S91,ALIB.SI,28967.777,3151.295,,,Cyclical Consumer Services,
Shangri-La HKD,S07,0069.HK,24130.584,18843.383,20.34,1.19,Cyclical Consumer Services,
JSH USD,J37,JSH.SI,23385.297,32665,5.47,1.68,Industrial Conglomerates,
HongkongLand USD,H78,HKLD.SI,9615.668,2319.7,48.56,5.34,Real Estate,
DairyFarm USD,D01,DAIR.SI,6303.595,11192.3,19.48,4.51,Food & Drug Retailing,
TCIL HK$,T15,0693.HK,3885.686,14533.351,18.25,5.7,Retailers,
Ascott Trust,HMN,ASCO.SI,3163.156,514.955,11.3,7.02,Real Estate,
Man Oriental USD,M04,MOIL.SI,1844.298,566.5,,2.05,Cyclical Consumer Services,
Lung Kee Bermuda,L09,0255.HK,1294.938,2277.883,8.67,10.73,Industrial Goods,
Prime US ReitUSD,OXMU,PRIE.SI,864.409,,,,Real Estate,
Lendlease Reit,JYEU,LEND.SI,796.821,,,,Real Estate,
VICOM Ltd,WJP,VCOM.SI,790.687,103.703,27.83,4.3,Industrial & Commercial Services,
Guoan Intl,G11,0143.HK,441.691,207.794,,,Technology Equipment,
Koufu,VL6,KOUF.SI,396.942,237.507,14.33,3.5,Cyclical Consumer Services,
ChinaSunsine,QES,CHSN.SI,354.02,530.542,4.6,2.78,Chemicals,
UOA,EH5,UOS.AX,341.689,532.572,11.23,3.52,Real Estate,
UtdHampshReitUSD,ODBU,UNIE.SI,293.5,46.689,14.44,,Real Estate,
MSC,NPW,MSCB.KL,278,881.435,31.25,2.88,Mineral Resources,
EliteComREIT GBP,MXNU,ELIE.SI,232.554,,,,Real Estate,
ARA HTrust USD,XZL,ARAU.SI,229.774,,,,Real Estate,
Inch Kenneth,I4R,IKEN.KL,220.894,14.214,,2.02,Cyclical Consumer Services,
AVJennings A$,A05,AVJ.AX,192.96,354.643,7.99,5.68,Real Estate,
PropNex,OYY,PROP.SI,192.4,481.243,7.51,5.29,Real Estate,
Intl Cement,KUO,INTN.SI,166.307,131.229,10.25,,Mineral Resources,
Eagle HTrust USD,LIW,EAGL.SI,119.567,,,25.39,Real Estate,
FortressMinerals,OAJ,FORR.SI,105,36.129,11.57,1.71,Mineral Resources,
Courage Inv,CIN,1145.HK,102.635,113.996,73.11,,Transportation,
Hyphens Pharma,1J5,HYPH.SI,88.627,123.879,12.26,3.39,,
China Env Res,RS1,1130.HK,87.571,96.812,,,Industrial & Commercial Services,
